likes	coms	favs	size
19	12	0	1794
23	63	1	851
26	54	0	1369
10	3	0	410
14	13	1	1881
20	29	0	3127
57	71	1	1592
35	397	8	4935
20	22	0	2806
37	160	1	7364
5	5	0	1137
105	215	1	1498
47	55	1	3704
34	46	0	6194
34	33	1	3392
55	30	1	3598
29	75	1	2275
135	42	24	3433
60	18	16	1139
65	34	3	1669
45	34	1	2058
57	195	1	995
37	17	1	416
45	20	1	5877
60	51	0	2544
36	27	0	1062
52	48	1	646
61	172	1	3787
20	5	1	1125
61	56	6	2615
33	13	0	1388
38	17	1	571
14	14	1	1569
44	45	0	1315
29	12	1	1338
28	47	1	2868
38	72	0	2631
26	7	1	1018
3	7	1	1072
49	35	4	4873
24	12	1	1607
39	16	0	1988
109	36	10	456
35	100	1	2960
42	22	1	661
8	19	0	352
96	84	8	3551
23	19	1	3559
36	15	1	2524
40	59	1	3823
38	17	0	2404
44	68	1	4911
36	162	1	1967
60	33	4	891
18	11	0	1384
40	25	4	1950
20	6	1	1837
32	22	0	2041
19	13	2	2087
16	5	0	1447
42	142	4	6458
60	92	0	1289
17	56	0	1075
12	4	1	707
100	179	13	4245
67	64	6	981
52	40	1	1895
10	12	1	512
41	92	1	9216
61	23	1	2095
16	6	0	813
26	9	1	1661
75	30	19	9480
16	13	0	1307
35	24	1	934
46	124	1	2461
50	65	0	2611
27	42	1	2832
23	26	0	3775
50	19	1	858
57	25	0	1069
31	26	1	1638
27	102	3	3183
41	117	0	2896
61	9	1	1995
15	7	0	747
9	6	0	460
29	68	1	2714
19	26	1	1571
29	78	1	1700
65	83	5	7289
29	28	1	2125
18	28	1	1304
52	31	1	1845
26	49	1	1549
19	16	1	1881
30	30	0	2219
117	132	4	7954
14	1	0	898
21	6	1	1569
29	6	1	817
90	24	5	3939
22	36	0	1348
18	15	0	1328
26	48	1	2129
69	52	1	2166
28	13	1	2918
61	122	1	6781
27	26	1	802
19	25	0	712
60	29	1	617
35	62	1	4504
29	41	1	6059
44	10	12	2467
46	48	1	6534
24	14	0	1053
29	26	0	3643
128	62	1	544
22	15	0	2845
24	53	0	1957
275	230	104	1616
160	227	10	11189
15	6	1	497
67	51	1	7385
28	26	0	1653
10	8	1	2398
55	71	4	7363
30	19	1	1401
36	28	0	669
21	16	0	2221
22	18	1	1162
22	13	0	3645
29	22	1	2336
38	41	1	1835
30	11	1	1574
23	2	0	1537
